timestamp,load_pu,ambient_temp_c,oil_temp_top_c,oil_temp_bottom_c,winding_hotspot_c,voltage_hv_kv,voltage_lv_kv,current_hv_a,current_lv_a,h2_ppm,ch4_ppm,c2h2_ppm,c2h4_ppm,c2h6_ppm,co_ppm,co2_ppm,vibration_rms_mm_s,partial_discharge_pc,oltc_position,fault_label
2025-11-01 00:00:00,0.358,13.77,21.11,18.18,24.0,131.559,33.604,39.28,153.79,32.26,17.57,0.52,15.15,12.46,414.08,3504.77,0.995,11.6,9,0
2025-11-01 01:00:00,0.3148,13.38,19.36,16.97,22.43,131.691,32.751,34.5,138.74,33.91,19.67,1.02,13.3,12.31,406.14,3637.03,1.233,68.5,9,0
2025-11-01 02:00:00,0.3714,10.49,18.28,15.16,20.16,132.202,32.628,40.55,164.3,30.52,15.52,1.23,13.84,10.92,371.08,3428.74,1.302,34.6,9,0
2025-11-01 03:00:00,0.3856,10.81,19.08,15.77,20.14,130.983,33.446,42.49,166.41,35.94,15.98,0.93,16.34,12.61,367.85,3424.0,1.148,35.8,9,0
2025-11-01 04:00:00,0.3124,8.55,14.46,12.09,16.51,132.146,33.349,34.12,135.2,26.04,19.33,1.27,15.97,14.9,372.14,3434.33,1.331,96.7,9,0
2025-11-01 05:00:00,0.3494,8.01,15.07,12.24,16.88,131.501,32.952,38.35,153.06,32.05,19.74,1.18,16.67,12.26,379.63,3476.79,1.367,55.4,9,0
2025-11-01 06:00:00,0.4128,8.7,17.92,14.23,20.72,132.565,33.101,44.95,180.02,26.94,19.37,1.34,14.33,12.83,388.67,3523.47,1.517,50.6,9,0
2025-11-01 07:00:00,0.4215,7.63,17.16,13.35,20.63,132.361,33.107,45.97,183.77,33.18,15.24,1.65,17.02,13.06,393.21,3463.51,1.517,184.5,9,0
2025-11-01 08:00:00,0.4525,7.55,18.24,13.96,21.35,132.274,33.036,49.38,197.7,31.84,23.11,1.78,15.03,10.28,399.02,3580.51,1.452,76.7,9,0
2025-11-01 09:00:00,0.4479,5.38,15.89,11.69,19.09,130.939,32.658,49.37,197.96,35.4,17.13,1.22,14.43,11.8,399.49,3499.73,1.592,91.6,9,0
2025-11-01 10:00:00,0.5175,9.49,22.73,17.44,27.21,131.932,32.345,56.61,230.93,31.5,18.36,0.86,12.8,11.76,399.27,3492.3,1.555,69.5,9,0
